[29-05:10:00:00.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1011] [SRC_HO_P] [MRO] AMF_UE_ID: 2011, RSRP_SOURCE: 83, RSRP_TARGET: 80, RSRQ_SOURCE: 15, RSRQ_TARGET: 13, LOAD_SOURCE: 2, PCI_SOURCE: 66, CELL_ID_SOURCE: 140112235312328, PCI_TARGET: 92, CELL_ID_TARGET: 140112235302328, HO_FAIL_COUNT: 0, HO_MARGIN: 22, TIME_TO_TRIGGER: 12, HOF: 0
[29-05:10:00:09.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1072] [SRC_HO_P] [MRO] AMF_UE_ID: 2072, RSRP_SOURCE: 89, RSRP_TARGET: 87, RSRQ_SOURCE: 18, RSRQ_TARGET: 16, LOAD_SOURCE: 2, PCI_SOURCE: 92, CELL_ID_SOURCE: 140112235302328, PCI_TARGET: 66, CELL_ID_TARGET: 140112235372328, HO_FAIL_COUNT: 1, HO_MARGIN: 1, TIME_TO_TRIGGER: 4, HOF: 1
[29-05:10:00:18.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1030] [SRC_HO_P] [MRO] AMF_UE_ID: 2030, RSRP_SOURCE: 68, RSRP_TARGET: 70, RSRQ_SOURCE: 18, RSRQ_TARGET: 14, LOAD_SOURCE: 1, PCI_SOURCE: 66, CELL_ID_SOURCE: 140112235352328, PCI_TARGET: 92, CELL_ID_TARGET: 140112235322328, HO_FAIL_COUNT: 0, HO_MARGIN: 0, TIME_TO_TRIGGER: 15, HOF: 0
[29-05:10:00:24.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1036] [SRC_HO_P] [MRO] AMF_UE_ID: 2036, RSRP_SOURCE: 89, RSRP_TARGET: 83, RSRQ_SOURCE: 14, RSRQ_TARGET: 10, LOAD_SOURCE: 0, PCI_SOURCE: 92, CELL_ID_SOURCE: 140112235302328, PCI_TARGET: 88, CELL_ID_TARGET: 140112235342328, HO_FAIL_COUNT: 0, HO_MARGIN: 22, TIME_TO_TRIGGER: 6, HOF: 0
[29-05:10:00:24.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1088] [SRC_HO_P] [MRO] AMF_UE_ID: 2088, RSRP_SOURCE: 67, RSRP_TARGET: 62, RSRQ_SOURCE: 19, RSRQ_TARGET: 15, LOAD_SOURCE: 0, PCI_SOURCE: 92, CELL_ID_SOURCE: 140112235322328, PCI_TARGET: 90, CELL_ID_TARGET: 140112235342328, HO_FAIL_COUNT: 0, HO_MARGIN: 21, TIME_TO_TRIGGER: 14, HOF: 0
[29-05:10:00:40.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1053] [SRC_HO_P] [MRO] AMF_UE_ID: 2053, RSRP_SOURCE: 88, RSRP_TARGET: 82, RSRQ_SOURCE: 19, RSRQ_TARGET: 15, LOAD_SOURCE: 1, PCI_SOURCE: 90, CELL_ID_SOURCE: 140112235312328, PCI_TARGET: 92, CELL_ID_TARGET: 140112235382328, HO_FAIL_COUNT: 0, HO_MARGIN: 17, TIME_TO_TRIGGER: 0, HOF: 0
[29-05:10:00:36.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1045] [SRC_HO_P] [MRO] AMF_UE_ID: 2045, RSRP_SOURCE: 62, RSRP_TARGET: 59, RSRQ_SOURCE: 17, RSRQ_TARGET: 15, LOAD_SOURCE: 1, PCI_SOURCE: 90, CELL_ID_SOURCE: 140112235362328, PCI_TARGET: 66, CELL_ID_TARGET: 140112235342328, HO_FAIL_COUNT: 0, HO_MARGIN: 1, TIME_TO_TRIGGER: 15, HOF: 0
[29-05:10:00:35.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1036] [SRC_HO_P] [MRO] AMF_UE_ID: 2036, RSRP_SOURCE: 107, RSRP_TARGET: 93, RSRQ_SOURCE: 16, RSRQ_TARGET: 12, LOAD_SOURCE: 0, PCI_SOURCE: 66, CELL_ID_SOURCE: 140112235392328, PCI_TARGET: 92, CELL_ID_TARGET: 140112235362328, HO_FAIL_COUNT: 0, HO_MARGIN: 13, TIME_TO_TRIGGER: 5, HOF: 0
[29-05:10:01:12.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1019] [SRC_HO_P] [MRO] AMF_UE_ID: 2019, RSRP_SOURCE: 84, RSRP_TARGET: 82, RSRQ_SOURCE: 17, RSRQ_TARGET: 14, LOAD_SOURCE: 2, PCI_SOURCE: 90, CELL_ID_SOURCE: 140112235312328, PCI_TARGET: 66, CELL_ID_TARGET: 140112235382328, HO_FAIL_COUNT: 0, HO_MARGIN: 8, TIME_TO_TRIGGER: 12, HOF: 0
[29-05:10:00:54.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1001] [SRC_HO_P] [MRO] AMF_UE_ID: 2001, RSRP_SOURCE: 101, RSRP_TARGET: 88, RSRQ_SOURCE: 18, RSRQ_TARGET: 15, LOAD_SOURCE: 1, PCI_SOURCE: 92, CELL_ID_SOURCE: 140112235392328, PCI_TARGET: 90, CELL_ID_TARGET: 140112235332328, HO_FAIL_COUNT: 0, HO_MARGIN: 1, TIME_TO_TRIGGER: 12, HOF: 0
[29-05:10:01:30.000] [INFO  ] [2833 ] [uecc_fsm_src_ho_wait_for_ctxt_release_ue_release_req_handler] [UE ID: 1013] [SRC_HO_P] [MRO] AMF_UE_ID: 2013, RSRP_SOURCE: 63, RSRP_TARGET: 66, RSRQ_SOURCE: 17, RSRQ_TARGET: 14, LOAD_SOURCE: 1, PCI_SOURCE: 88, CELL_ID_SOURCE: 140112235362328, PCI_TARGET: 90, CELL_ID_TARGET: 140112235362328, HO_FAIL_COUNT: 1, HO_MARGIN: 6, TIME_TO_TRIGGER: 3, HOF: 1
